userid,timestamp,sensor01,sensor02,sensor03,sensor04
164425a0-1339-401f-af10-20878c5d677f,2021-03-13 00:00:00,-77.87,-225.33,-108.03,-216.62
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,2021-03-13 00:00:00,766.98,713.12,308.74,669.09
40c15082-6f50-4f28-a4b2-24d7256d6d28,2021-03-13 00:00:00,159.36,305.87,293.43,305.04
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,2021-03-13 00:00:00,287.65,187.76,304.65,140.41
7a287f88-ed7d-4a92-8a84-7cebfe462ced,2021-03-13 00:00:00,672.38,719.96,611.22,381.98
8f26ef89-8d88-4137-bd12-240c8b3b70f3,2021-03-13 00:00:00,233.95,228.63,213.13,174.16
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,2021-03-13 00:00:00,205.04,190.04,174.47,167.28
be09b014-49f8-4d21-8703-46affc9b2159,2021-03-13 00:00:00,574.72,689.59,830.03,372.58
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,2021-03-13 00:00:00,602.75,906.91,752.62,537.53
578c1de9-6135-4511-b624-3fcef72d32b5,2021-03-13 00:00:00,676.36,898.87,492.53,777.91
714c533a-230e-448f-a88e-250459a76dc5,2021-03-13 00:00:00,384.77,854.34,807.44,424.41
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,2021-03-13 00:00:00,201.76,234.47,230.69,205.77
1c7d20bc-eea1-4022-ac8c-23855119d88f,2021-03-13 00:00:00,135.58,232.07,245.4,190.53
d2849633-91a5-486f-aa94-05282eb9288a,2021-03-13 00:00:00,306.69,157.32,182.5,212.55
0f9ec80c-fda2-48bf-a506-718b206f5edd,2021-03-13 00:00:00,2757.42,2195.58,2960.8,2345.53
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,2021-03-13 00:00:00,735.46,420.32,551.48,697.83
a62d755d-65d0-4724-a662-b6331366deb2,2021-03-13 00:00:00,730.34,740.0,477.56,568.51
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,2021-03-13 00:00:00,140.4,176.83,226.26,205.54
85cd09c7-99ee-4a94-9007-a34758ef33af,2021-03-13 00:00:00,763.98,669.99,741.2,686.41
04a63a93-087d-48d4-a0f5-3c3689bd29cb,2021-03-13 00:00:00,159.4,198.32,232.76,251.23
3d83b9e7-0814-46db-a350-da6bde6568a4,2021-03-13 00:00:00,655.86,524.07,592.36,592.24
5e77da0c-ed9a-4bd5-bae7-d2977668dd26,2021-03-13 00:00:00,164.74,171.0,232.52,380.03
eb97ec50-8aeb-4833-8411-4f1311765a3d,2021-03-13 00:00:00,670.25,620.33,438.47,625.06
3a715610-3555-4b67-9bc6-c191f94c20e5,2021-03-13 00:00:00,610.63,569.78,616.98,655.55
54e898ca-263a-4f45-a6c3-0bdc5df13d76,2021-03-13 00:00:00,2085.99,2322.8,2677.84,2024.28
cc67ae09-c481-4cda-a508-36c3323891d4,2021-03-13 00:00:00,188.26,307.75,203.23,142.46
eb4ecb08-845f-416d-9e48-a75f72458b7e,2021-03-13 00:00:00,1237.24,2644.59,2438.95,2160.23
06ad721c-b04f-40ed-8d18-a693167fd4b5,2021-03-13 00:00:00,167.49,199.0,267.14,148.43
34622958-27b0-4a08-989d-15acebcd9222,2021-03-13 00:00:00,685.95,822.69,593.06,542.83
8bdefe30-b17b-4c8f-b49c-08f3f9019d63,2021-03-13 00:00:00,330.31,315.91,205.51,194.89
733c3be4-b1b5-4a21-ab0b-af15b3558f21,2021-03-13 00:00:00,772.99,457.95,580.0,720.78
4b216a9d-1975-4604-a146-1198f416ee4b,2021-03-13 00:00:00,276.44,129.97,202.49,168.48
dd5ea78d-d613-4ea6-a483-f27fe873b95b,2021-03-13 00:00:00,450.18,520.74,769.29,444.62
732d99c5-f64c-46fb-989b-985321ae522d,2021-03-13 00:00:00,581.81,792.33,653.29,460.02
98f2c005-2b93-449b-8c63-9b4c15be586d,2021-03-13 00:00:00,1022.15,2544.17,2415.55,833.15
36e10e36-f57f-4c92-b33a-d7076b36da9f,2021-03-13 00:00:00,193.64,269.47,226.51,116.31
3781f5cc-2168-4f1a-b42a-e276463ddc50,2021-03-13 00:00:00,307.28,179.3,267.92,163.91
076abe7a-d867-44e0-9eb9-5e86b5abc789,2021-03-13 00:00:00,623.49,648.69,666.13,405.89
15d40ceb-9a1f-4615-a7ad-b1c4c23d8aa2,2021-03-13 00:00:00,680.8,696.89,792.15,439.0
8acd20c7-d333-414a-b6ed-dcafd2fd9cde,2021-03-13 00:00:00,580.87,614.09,682.7,614.27
8a7b11c3-3afd-4cac-8816-6af949ee8528,2021-03-13 00:00:00,453.14,572.46,462.87,652.74
efb03a57-c55d-4144-ad27-62ecc28da909,2021-03-13 00:00:00,952.51,636.42,586.05,500.71
bf86dcd9-1bb0-4e45-87e4-fb2de7633e9f,2021-03-13 00:00:00,475.34,705.84,651.44,674.11
d287886f-9235-4d00-adbb-6f5b57570e10,2021-03-13 00:00:00,721.21,664.2,811.84,689.1
cd83b269-cb65-4b67-bfd8-b4f3b0fbcb65,2021-03-13 00:00:00,730.97,597.37,895.47,769.35
1386ce13-c5f8-439b-a02c-b9772098fbd8,2021-03-13 00:00:00,459.88,613.51,642.18,721.31
53dceded-8059-4ce3-a8b1-39c768135d06,2021-03-13 00:00:00,151.27,169.75,156.22,174.15
36729f63-95a9-47f4-b5fc-41ccd27388e8,2021-03-13 00:00:00,487.87,557.33,622.23,729.48
774bfb0e-9e00-4a23-96b3-39b40cde6643,2021-03-13 00:00:00,605.22,434.19,560.73,553.38
87429fa6-8aa9-4e56-a15b-57fffdfb80f4,2021-03-13 00:00:00,624.42,563.56,758.85,911.65
33326389-5e86-4f2f-8a57-ac0d987a1e43,2021-03-13 00:00:00,248.59,301.47,315.1,243.83
