userid,timestamp,sensor02,sensor03,sensor04
164425a0-1339-401f-af10-20878c5d677f,2021-04-12 00:00:00,-175.25,-46.23,-171.28
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,2021-04-12 00:00:00,485.61,594.07,773.41
40c15082-6f50-4f28-a4b2-24d7256d6d28,2021-04-12 00:00:00,212.06,303.25,150.09
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,2021-04-12 00:00:00,257.06,344.91,261.08
7a287f88-ed7d-4a92-8a84-7cebfe462ced,2021-04-12 00:00:00,792.67,638.9,642.18
8f26ef89-8d88-4137-bd12-240c8b3b70f3,2021-04-12 00:00:00,224.06,319.23,370.68
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,2021-04-12 00:00:00,266.93,239.46,164.15
be09b014-49f8-4d21-8703-46affc9b2159,2021-04-12 00:00:00,349.37,670.46,731.06
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,2021-04-12 00:00:00,979.56,902.14,492.08
578c1de9-6135-4511-b624-3fcef72d32b5,2021-04-12 00:00:00,460.83,629.89,777.19
714c533a-230e-448f-a88e-250459a76dc5,2021-04-12 00:00:00,699.34,487.55,606.9
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,2021-04-12 00:00:00,195.49,125.81,144.58
1c7d20bc-eea1-4022-ac8c-23855119d88f,2021-04-12 00:00:00,272.84,207.1,226.92
d2849633-91a5-486f-aa94-05282eb9288a,2021-04-12 00:00:00,249.02,225.25,303.38
0f9ec80c-fda2-48bf-a506-718b206f5edd,2021-04-12 00:00:00,2610.37,2220.65,2515.75
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,2021-04-12 00:00:00,498.12,585.47,636.45
a62d755d-65d0-4724-a662-b6331366deb2,2021-04-12 00:00:00,791.6,574.34,632.39
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,2021-04-12 00:00:00,372.48,243.05,361.4
85cd09c7-99ee-4a94-9007-a34758ef33af,2021-04-12 00:00:00,532.66,587.14,753.84
04a63a93-087d-48d4-a0f5-3c3689bd29cb,2021-04-12 00:00:00,144.6,295.58,168.65
3d83b9e7-0814-46db-a350-da6bde6568a4,2021-04-12 00:00:00,359.78,707.7,618.34
5e77da0c-ed9a-4bd5-bae7-d2977668dd26,2021-04-12 00:00:00,265.79,210.01,229.75
eb97ec50-8aeb-4833-8411-4f1311765a3d,2021-04-12 00:00:00,606.43,676.5,533.2
3a715610-3555-4b67-9bc6-c191f94c20e5,2021-04-12 00:00:00,477.89,831.17,816.16
54e898ca-263a-4f45-a6c3-0bdc5df13d76,2021-04-12 00:00:00,1996.06,1856.48,2775.99
cc67ae09-c481-4cda-a508-36c3323891d4,2021-04-12 00:00:00,312.23,231.22,148.65
eb4ecb08-845f-416d-9e48-a75f72458b7e,2021-04-12 00:00:00,2603.01,2569.94,2685.34
06ad721c-b04f-40ed-8d18-a693167fd4b5,2021-04-12 00:00:00,173.65,286.36,228.73
34622958-27b0-4a08-989d-15acebcd9222,2021-04-12 00:00:00,388.08,710.04,679.37
8bdefe30-b17b-4c8f-b49c-08f3f9019d63,2021-04-12 00:00:00,248.72,198.99,228.8
733c3be4-b1b5-4a21-ab0b-af15b3558f21,2021-04-12 00:00:00,480.7,725.44,634.48
4b216a9d-1975-4604-a146-1198f416ee4b,2021-04-12 00:00:00,172.07,203.31,174.79
dd5ea78d-d613-4ea6-a483-f27fe873b95b,2021-04-12 00:00:00,703.14,531.77,630.71
732d99c5-f64c-46fb-989b-985321ae522d,2021-04-12 00:00:00,504.35,520.24,714.41
98f2c005-2b93-449b-8c63-9b4c15be586d,2021-04-12 00:00:00,1945.52,2710.67,2464.76
36e10e36-f57f-4c92-b33a-d7076b36da9f,2021-04-12 00:00:00,297.81,149.78,251.71
3781f5cc-2168-4f1a-b42a-e276463ddc50,2021-04-12 00:00:00,230.3,124.06,163.74
076abe7a-d867-44e0-9eb9-5e86b5abc789,2021-04-12 00:00:00,576.39,414.26,533.84
15d40ceb-9a1f-4615-a7ad-b1c4c23d8aa2,2021-04-12 00:00:00,833.32,620.86,830.51
8acd20c7-d333-414a-b6ed-dcafd2fd9cde,2021-04-12 00:00:00,379.26,771.02,659.34
8a7b11c3-3afd-4cac-8816-6af949ee8528,2021-04-12 00:00:00,650.87,493.83,672.08
efb03a57-c55d-4144-ad27-62ecc28da909,2021-04-12 00:00:00,892.95,457.79,611.8
bf86dcd9-1bb0-4e45-87e4-fb2de7633e9f,2021-04-12 00:00:00,520.15,681.94,601.7
d287886f-9235-4d00-adbb-6f5b57570e10,2021-04-12 00:00:00,583.26,732.13,634.17
cd83b269-cb65-4b67-bfd8-b4f3b0fbcb65,2021-04-12 00:00:00,557.27,476.77,850.15
1386ce13-c5f8-439b-a02c-b9772098fbd8,2021-04-12 00:00:00,684.54,728.93,489.13
53dceded-8059-4ce3-a8b1-39c768135d06,2021-04-12 00:00:00,214.03,172.78,252.82
36729f63-95a9-47f4-b5fc-41ccd27388e8,2021-04-12 00:00:00,827.69,585.16,799.53
774bfb0e-9e00-4a23-96b3-39b40cde6643,2021-04-12 00:00:00,620.14,735.04,603.56
87429fa6-8aa9-4e56-a15b-57fffdfb80f4,2021-04-12 00:00:00,587.97,675.16,481.64
33326389-5e86-4f2f-8a57-ac0d987a1e43,2021-04-12 00:00:00,173.63,159.09,216.69
5f6a5626-baa4-40ee-92a9-f7828e945c8b,2021-04-12 00:00:00,2883.58,1666.09,1623.75
7fc18086-14f7-4c42-b21e-ef7d67cea553,2021-04-12 00:00:00,763.71,956.4,493.62
74305130-05ab-4dca-a97c-71f3eb17ea38,2021-04-12 00:00:00,347.31,195.16,250.73
e612fc6e-b799-43f4-a1cc-17bafc09d4ef,2021-04-12 00:00:00,678.05,526.49,646.72
393338c2-7327-4e96-87ce-2a08916914ef,2021-04-12 00:00:00,598.72,863.33,548.21
bfa59f2e-500c-44e4-b322-20b126dfcceb,2021-04-12 00:00:00,166.68,236.02,241.47
c3531d65-0a15-42f5-9e3b-756a9eb940e3,2021-04-12 00:00:00,164.75,283.85,265.07
e2ad1f6e-39a4-4d50-8916-fa55615db757,2021-04-12 00:00:00,168.9,309.74,166.04
2dee518f-c573-4edf-905e-947dcb831243,2021-04-12 00:00:00,620.91,732.2,948.65
42714f71-41c1-45a2-9ef1-ebd721a123f4,2021-04-12 00:00:00,630.52,560.37,598.61
a4f08f2e-647f-4eb0-bc7e-1c4644029fe7,2021-04-12 00:00:00,870.61,477.0,554.35
aed1a815-a2bf-4780-93e2-f21426fdd2c5,2021-04-12 00:00:00,552.02,704.52,768.55
57dbddf9-4f10-4a6c-940a-66e89985f508,2021-04-12 00:00:00,726.29,452.68,625.01
4ba5034c-be51-4519-86fc-5aa550e87134,2021-04-12 00:00:00,520.65,788.55,637.64
dada4fe8-9c53-4c6d-a93b-0761a3bfda2e,2021-04-12 00:00:00,748.38,859.57,485.84
1efa9e18-fc6b-402c-be1a-ff8ac3e3e58d,2021-04-12 00:00:00,262.62,239.11,307.69
cc9d5595-fb1a-41fe-a1e1-e7f1fddaa0f2,2021-04-12 00:00:00,252.3,310.29,326.04
b6102108-54a4-46d3-9cb8-c1e7b44f51bc,2021-04-12 00:00:00,961.15,590.82,709.35
6b31f6b0-42b3-4b68-bf3a-175a55c989cd,2021-04-12 00:00:00,912.28,591.92,437.93
06aecdba-e691-4447-a5fe-2250044fc92d,2021-04-12 00:00:00,222.14,278.65,360.05
0476e62e-cf1a-4926-882d-34f15447e1f4,2021-04-12 00:00:00,206.21,203.52,200.35
fd2ed14a-6644-40fb-9efa-9c8166eef4d1,2021-04-12 00:00:00,667.5,447.88,615.74
0b896608-8421-451c-80a7-e47f93f43d5c,2021-04-12 00:00:00,668.83,570.14,405.54
d513fa28-48ce-4e31-8bc7-5785cbcb51d3,2021-04-12 00:00:00,2784.77,2507.59,2693.1
011531f6-d011-4be4-862a-de839e7de370,2021-04-12 00:00:00,392.56,447.91,791.83
2f94d588-5b8b-4fbc-9d80-e8ef4f7ae299,2021-04-12 00:00:00,193.64,264.11,273.11
3f7afe63-8d8a-4345-a942-4d273dfc6c71,2021-04-12 00:00:00,146.58,238.93,212.64
254d0b8e-367c-442e-8d65-71891a82481f,2021-04-12 00:00:00,458.96,647.66,504.99
bd79f7b7-0b74-4c0b-8587-0f1bf294b4e4,2021-04-12 00:00:00,191.5,277.86,262.88
e90ca299-341e-49c3-8a52-3e1eace155d9,2021-04-12 00:00:00,771.92,677.27,368.32
65538b02-c190-4fb3-a945-3d4f28276c2e,2021-04-12 00:00:00,183.11,163.15,197.34
f4754504-8644-4f06-8579-b5196ffc93a0,2021-04-12 00:00:00,2331.72,2638.74,1731.04
663bfa4e-d1af-406e-8b3b-c5efedab56e5,2021-04-12 00:00:00,172.72,223.69,213.06
13fd29ef-01a6-42a8-b511-9438ff24ba78,2021-04-12 00:00:00,310.35,240.61,361.35
a126665c-222c-4502-81c7-5d11c96e3c17,2021-04-12 00:00:00,729.55,431.62,778.34
09108ba5-6e41-41c6-a426-fc06cbd6f8e4,2021-04-12 00:00:00,682.25,876.15,741.61
d8f9765b-b302-44b3-b446-e7bc1c889a44,2021-04-12 00:00:00,534.31,839.86,508.91
3821f991-4c2e-445f-bef9-4aed1b725f6d,2021-04-12 00:00:00,736.25,440.86,691.24
d1c7d069-8259-4e37-bf3d-a06a432a0764,2021-04-12 00:00:00,157.91,162.75,206.79
179f1285-4727-408f-bec5-e7974fdcf78f,2021-04-12 00:00:00,752.79,680.06,491.77
